Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Chris Paddack","MIN",7.2909,7.6436,6.9069,4.08508,56.2,16.2,0,0.6076,129.528,543.004,128.806,63.134,58.7926,18.2347,30.9335,,4.2191,118.593,8.24016,2.14935,3.83379,1.267,0.218401,0.0569673,0.161433607339859,0.253629,1.23324,0.298016,0.719803,0.397557,,3.97961,1.43215,1.21295,592.4000244140625,,,,"20099"
"Jose Quintana",,9.4774,10.776,13.436,4.34442,29.16,29.16,0,0,168.333,735.076,174.105,88.0218,81.2563,21.0229,61.9449,,7.1317,135.536,7.24649,3.31192,2.188,1.124,0.184383,0.0842701,0.10011304169893265,0.26142,1.40229,0.300491,0.716435,0.449,,4.41078,1.42028,1.61342,480.79998779296875,,,,"11423"
"Alec Marsh","KCR",8.1027,9.2523,9.2609,4.48623,34.3,24.3,0,0.6292,141.596,613.977,140.225,75.5609,70.5812,19.6818,51.3426,,8.565,132.437,8.41788,3.2634,2.57948,1.251,0.215704,0.083623,0.13208100199699402,0.253081,1.35292,0.299895,0.707301,0.391296,,4.37211,1.41185,1.39829,506.92999267578125,,,,"27451"
"David Festa","MIN",6.1278,6.0499,6.371,3.88212,38.58,14.58,0,0.6076,103.226,436.86,94.084,48.1717,44.5261,12.2953,36.8331,,4.2183,107.312,9.35627,3.21139,2.91347,1.072,0.245644,0.0843133,0.16133063286542892,0.237701,1.26826,0.29612,0.727729,0.428027,,3.82881,1.40829,1.25583,302.2699890136719,,,,"30056"
"Mitchell Parker","WSN",9.1526,10.9026,12.0671,4.25922,39.54,27.54,0,0.5989,166.465,714.489,161.516,84.6327,78.7788,23.9894,60.7541,,4.8207,146.49,7.92006,3.2847,2.4112,1.297,0.205028,0.0850315,0.11999611556529999,0.248901,1.33524,0.28745,0.729456,0.383,,4.46169,1.40529,1.78412,464.6000061035156,,,,"27636"
"Tyler Mahle","TEX",8.7125,9.1488,11.7508,4.2911,25.92,25.92,0,0,147.511,629.315,144.025,75.2944,70.3318,22.4053,45.6316,,5.903,137.744,8.40409,2.78409,3.01862,1.367,0.21888,0.07251,0.14636994153261185,0.249272,1.2857,0.291212,0.722488,0.374602,,4.32154,1.39849,1.54213,437.07000732421875,,,,"16358"
"Kyle Wright","KCR",6.9206,7.3338,7.8164,4.19944,38.82,17.82,0,0.6292,120.902,518.477,123.659,61.2918,56.4135,13.2321,40.3182,,6.4976,101.716,7.57176,3.0013,2.52282,0.985,0.196182,0.0777628,0.11841894686222076,0.262177,1.35628,0.309567,0.705972,0.492114,,4.06831,1.39636,1.42713,557.7999877929688,,,,"19665"
"Walker Buehler",,8.53,10.1233,9.6129,4.57921,37.92,25.92,0,0.64,152.398,658.839,159.176,83.3388,77.5405,20.5907,51.0262,,6.2498,128.838,7.60861,3.01339,2.52494,1.216,0.195553,0.0774487,0.11810427904129028,0.264605,1.3793,0.306515,0.699454,0.437846,,4.35961,1.38598,1.46712,255.72999572753906,,,,"19374"
"JP Sears","ATH",9.6345,11.7659,14.0465,4.38645,30.78,30.78,0,0,177.723,756.589,175.332,92.4239,86.6191,27.2508,52.1139,,10.4061,143.781,7.28115,2.63908,2.75897,1.38,0.190038,0.0688801,0.12115798890590668,0.252615,1.27978,0.283118,0.71329,0.34358,,4.59713,1.3704,1.49634,484.4700012207031,,,,"23429"
"Kris Bubic","KCR",8.0975,8.405,9.1484,4.15485,43.06,21.06,0,0.6292,138.974,595.891,138.012,69.4208,64.1573,16.8159,50.0081,,5.4464,125.358,8.1182,3.23854,2.50675,1.089,0.21037,0.0839216,0.1264486312866211,0.25537,1.35291,0.304311,0.721064,0.446197,,4.13252,1.36692,1.77074,372,,,,"21455"
