id,name,pitches,pa,ab,bip,hits,singles,doubles,triples,hr,k,krate,bb,bbrate,whiffs,swings,ba,xba,obp,xobp,slg,xslg,woba,xwoba,babip,whiffrate,ev,langle,hhrate,barrels,barrelbbe,barrelpa,chaserate,krate_p,bbrate_p,xba_p,xslg_p,xwoba_p,whiffrate_p,ev_p,langle_p,hhrate_p,barrelbbe_p,chaserate_p
665180,Ruben Cardenas,1143,312,280,227,80,42,17,1,20,55,17.6,21,6.7,160,594,0.286,0.269,0.353,0.338,0.568,0.472,0.393,0.351,0.29,26.9,87.6,17.0,38.3,23,10.1,7.4,6.0,0.17621776504297995,0.08882521489971347,0.9154727793696275,0.9297994269340975,0.8667621776504298,0.49283667621776506,0.42120343839541546,0.7535816618911175,0.5558739255014327,0.8237822349570201,0.7421203438395415
682729,Jonatan Clase,1136,272,229,160,63,38,11,4,10,72,26.5,40,14.7,126,504,0.275,0.261,0.379,0.368,0.489,0.434,0.376,0.353,0.353,25.0,87.0,13.0,35.6,14,8.8,5.1,5.1,0.7106017191977078,0.8022922636103151,0.8567335243553008,0.8467048710601719,0.8810888252148997,0.39111747851002865,0.33954154727793695,0.47277936962750716,0.4369627507163324,0.7349570200573066,0.5458452722063037
671286,Johnathan Rodriguez,1133,279,240,172,71,45,11,0,15,69,24.7,38,13.6,120,470,0.296,0.255,0.391,0.357,0.529,0.463,0.398,0.357,0.357,25.5,92.3,8.0,52.9,20,11.6,7.2,4.0,0.5959885386819485,0.7406876790830945,0.8166189111747851,0.9111747851002865,0.8982808022922636,0.41260744985673353,0.9842406876790831,0.15329512893982808,0.9914040114613181,0.8825214899713467,0.23925501432664756
676628,Mark Contreras,1130,282,244,158,51,30,14,3,4,87,30.9,32,11.3,184,563,0.209,0.217,0.312,0.319,0.34,0.364,0.294,0.305,0.305,32.7,91.9,11.0,49.4,12,7.6,4.3,5.8,0.8782234957020058,0.501432664756447,0.30515759312320917,0.498567335243553,0.43982808022922637,0.8180515759312321,0.9684813753581661,0.3223495702005731,0.9742120343839542,0.6404011461318052,0.7077363896848138
642727,Sergio Alcántara,1128,272,227,176,57,37,11,5,4,52,19.1,44,16.2,99,446,0.251,0.234,0.371,0.359,0.396,0.315,0.343,0.311,0.308,22.2,86.0,11.0,22.2,3,1.7,1.1,2.3,0.2607449856733524,0.8939828080229226,0.5257879656160458,0.22779369627507162,0.498567335243553,0.2636103151862464,0.2020057306590258,0.3223495702005731,0.04011461318051576,0.07593123209169055,0.024355300859598854
680577,DaShawn Keirsey Jr.,1127,274,239,179,73,44,15,4,10,64,23.4,30,10.9,131,514,0.305,0.242,0.38,0.331,0.527,0.345,0.388,0.307,0.373,25.5,88.5,13.0,38.5,7,3.9,2.6,3.6,0.5229226361031518,0.44412607449856734,0.660458452722063,0.40257879656160456,0.45558739255014324,0.41260744985673353,0.5888252148997135,0.47277936962750716,0.5759312320916905,0.2607449856733524,0.17191977077363896
680693,Grant Lavigne,1123,280,236,163,60,36,9,3,12,75,26.8,36,12.9,185,512,0.254,0.238,0.364,0.352,0.47,0.407,0.364,0.338,0.318,36.1,88.4,11.0,43.6,13,8.0,4.6,3.6,0.7378223495702005,0.6876790830945558,0.5916905444126075,0.7120343839541547,0.7650429799426934,0.9212034383954155,0.5730659025787965,0.3223495702005731,0.8194842406876791,0.6819484240687679,0.17191977077363896
670237,Jake Slaughter,1122,303,267,190,75,54,14,0,7,80,26.4,24,7.9,175,577,0.281,0.266,0.356,0.344,0.412,0.425,0.34,0.337,0.372,30.3,88.1,11.0,36.3,14,7.4,4.6,6.9,0.7048710601719198,0.16045845272206305,0.8954154727793696,0.8123209169054442,0.7550143266475645,0.7177650429799427,0.5100286532951289,0.3223495702005731,0.47707736389684813,0.6117478510028653,0.8710601719197708
676116,Ryan Noda,1109,249,194,123,45,20,11,2,12,72,28.9,50,20.1,157,449,0.232,0.203,0.398,0.376,0.495,0.374,0.39,0.342,0.297,35.0,88.3,16.0,43.9,12,9.8,4.8,2.9,0.8151862464183381,0.9885386819484241,0.17478510028653296,0.5601719197707736,0.8008595988538681,0.8911174785100286,0.5487106017191977,0.6977077363896849,0.836676217765043,0.8051575931232091,0.0673352435530086
676632,Bligh Madris,1104,280,238,170,54,29,13,1,11,70,25.0,34,12.1,154,524,0.227,0.243,0.326,0.341,0.429,0.445,0.331,0.341,0.27,29.4,89.4,19.0,48.2,19,11.2,6.8,4.3,0.6045845272206304,0.5931232091690545,0.6762177650429799,0.8638968481375359,0.7908309455587392,0.6504297994269341,0.7191977077363897,0.8839541547277937,0.9598853868194842,0.8638968481375359,0.3223495702005731
